Zone,Code zone,Produit,Aliments pour animaux (kg/an),Autres utilisations (non alimentaire) (kg/an),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure (kg/an),Exportations - Quantité (kg/an),Importations - Quantité (kg/an),Nourriture (kg/an),Pertes (kg/an),Production (kg/an),Semences (kg/an),Traitement (kg/an),Variation de stock (kg/an)
Afghanistan,2,Abats Comestible,,,5.0,1.72,0.2,0.77,53000000.0,,,53000000.0,,53000000.0,,,
Afghanistan,2,"Beurre, Ghee",,,23.0,1.17,2.61,0.03,36000000.0,,0.0,36000000.0,,36000000.0,,,
Afghanistan,2,Crème,,,3.0,0.6,0.32,0.04,18000000.0,,18000000.0,18000000.0,,,,,
Afghanistan,2,Graisses Animales Crue,,,12.0,0.49,1.31,0.01,15000000.0,,1000000.0,15000000.0,,14000000.0,,,
Afghanistan,2,Lait - Excl Beurre,123000000.0,,100.0,62.23,5.19,6.12,2083000000.0,0.0,248000000.0,1901000000.0,58000000.0,1835000000.0,,,
Afghanistan,2,Oeufs,,,5.0,1.3,0.36,0.38,47000000.0,,29000000.0,40000000.0,5000000.0,18000000.0,2000000.0,,
Afghanistan,2,Poissons Eau Douce,,0.0,0.0,0.07,0.0,0.02,2000000.0,,0.0,2000000.0,,2000000.0,,,
Afghanistan,2,Viande d'Ovins/Caprins,,,31.0,4.92,2.55,1.91,150000000.0,,,150000000.0,,150000000.0,,,
Afghanistan,2,Viande de Bovins,,,27.0,4.59,2.1,1.89,140000000.0,,6000000.0,140000000.0,,134000000.0,,,
Afghanistan,2,Viande de Volailles,,,9.0,2.45,0.53,0.87,75000000.0,,48000000.0,75000000.0,,26000000.0,,,
Afghanistan,2,"Viande, Autre",,,1.0,0.38,0.06,0.17,12000000.0,,0.0,12000000.0,,12000000.0,,,
Afrique du Sud,202,Abats Comestible,0.0,48000000.0,17.0,4.81,0.53,2.58,302000000.0,10000000.0,71000000.0,254000000.0,,241000000.0,,,
Afrique du Sud,202,Animaux Aquatiques Autre,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Afrique du Sud,202,"Beurre, Ghee",,,7.0,0.35,0.78,0.01,19000000.0,5000000.0,3000000.0,19000000.0,,20000000.0,,,0.0
Afrique du Sud,202,Cephalopodes,,0.0,0.0,0.12,0.0,0.05,7000000.0,5000000.0,9000000.0,7000000.0,,3000000.0,,,0.0
Afrique du Sud,202,Crustacés,,0.0,0.0,0.42,0.0,0.1,22000000.0,4000000.0,24000000.0,22000000.0,,3000000.0,,,0.0
Afrique du Sud,202,Crème,,,0.0,0.05,0.03,0.0,3000000.0,0.0,0.0,3000000.0,,3000000.0,,,
Afrique du Sud,202,Graisses Animales Crue,,43000000.0,6.0,0.3,0.65,,59000000.0,5000000.0,29000000.0,16000000.0,,33000000.0,,,1000000.0
Afrique du Sud,202,Huiles de Foie de Poisso,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Afrique du Sud,202,Huiles de Poissons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,,1000000.0,,,0.0
Afrique du Sud,202,Lait - Excl Beurre,123000000.0,,85.0,55.75,5.26,4.55,3093000000.0,697000000.0,292000000.0,2942000000.0,32000000.0,3260000000.0,,0.0,238000000.0
Afrique du Sud,202,"Mollusques, Autres",,0.0,0.0,0.14,0.0,0.01,7000000.0,3000000.0,8000000.0,7000000.0,,2000000.0,,,
Afrique du Sud,202,Oeufs,,,28.0,7.21,1.96,2.26,497000000.0,17000000.0,1000000.0,380000000.0,51000000.0,514000000.0,67000000.0,,0.0
Afrique du Sud,202,Perciform,0.0,0.0,2.0,2.16,0.04,0.43,114000000.0,74000000.0,26000000.0,114000000.0,,162000000.0,,,0.0
Afrique du Sud,202,Plantes Aquatiques,,14000000.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,0.0,,15000000.0,,,
Afrique du Sud,202,Poissons Eau Douce,,0.0,0.0,0.19,0.01,0.06,10000000.0,2000000.0,9000000.0,10000000.0,,3000000.0,,,
Afrique du Sud,202,"Poissons Marins, Autres",0.0,0.0,0.0,0.07,0.0,0.02,4000000.0,3000000.0,1000000.0,4000000.0,,6000000.0,,,0.0
