Zone,Code zone,Produit,Aliments pour animaux (kg/an),Autres utilisations (non alimentaire) (kg/an),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure (kg/an),Exportations - Quantité (kg/an),Importations - Quantité (kg/an),Nourriture (kg/an),Pertes (kg/an),Production (kg/an),Semences (kg/an),Traitement (kg/an),Variation de stock (kg/an)
Afghanistan,2,"Agrumes, Autres",,,1.0,1.29,0.01,0.02,41000000.0,2000000.0,40000000.0,39000000.0,2000000.0,3000000.0,,,
Afghanistan,2,Aliments pour enfants,,,1.0,0.06,0.01,0.03,2000000.0,,2000000.0,2000000.0,,,,,
Afghanistan,2,Ananas,,,0.0,0.0,,,0.0,,0.0,0.0,,,,,
Afghanistan,2,Bananes,,,4.0,2.7,0.02,0.05,82000000.0,,82000000.0,82000000.0,,,,,
Afghanistan,2,Bière,,,0.0,0.09,,0.0,3000000.0,,3000000.0,3000000.0,,,,,
Afghanistan,2,Blé,,,1369.0,160.23,4.69,36.91,5992000000.0,,1173000000.0,4895000000.0,775000000.0,5169000000.0,322000000.0,,-350000000.0
Afghanistan,2,Boissons Alcooliques,,,0.0,0.0,,,0.0,,0.0,0.0,,,,,
Afghanistan,2,Café,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,
Afghanistan,2,Coco (Incl Coprah),,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,
Afghanistan,2,"Céréales, Autres",,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,
Afghanistan,2,Dattes,,,0.0,0.02,0.0,0.0,1000000.0,,1000000.0,1000000.0,,,,,
Afghanistan,2,Edulcorants Autres,,,2.0,0.53,,,16000000.0,,16000000.0,16000000.0,,,,,
Afghanistan,2,Feve de Cacao,,,0.0,0.02,0.04,0.01,1000000.0,,1000000.0,1000000.0,,,,,
Afghanistan,2,"Fruits, Autres",,,9.0,7.29,0.06,0.14,240000000.0,69000000.0,4000000.0,223000000.0,17000000.0,304000000.0,,,1000000.0
Afghanistan,2,Graines de coton,,,,,,,27000000.0,0.0,,,,27000000.0,1000000.0,26000000.0,
Afghanistan,2,Graines de tournesol,,,,,,,3000000.0,,,,,3000000.0,0.0,3000000.0,
Afghanistan,2,Huil Plantes Oleif Autr,,359000000.0,2.0,0.08,0.21,0.0,361000000.0,,360000000.0,2000000.0,,1000000.0,,,
Afghanistan,2,Huile Graines de Coton,,1000000.0,3.0,0.12,0.34,,5000000.0,,,4000000.0,,5000000.0,,,
Afghanistan,2,Huile d'Arachide,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,
Afghanistan,2,Huile d'Olive,,,0.0,0.02,0.05,,1000000.0,,0.0,1000000.0,,1000000.0,,,
Afghanistan,2,Huile de Colza&Moutarde,,,2.0,0.07,0.18,,2000000.0,,2000000.0,2000000.0,,,,,
Afghanistan,2,Huile de Palme,,55000000.0,51.0,2.09,5.74,,119000000.0,,119000000.0,64000000.0,,,,,
Afghanistan,2,Huile de Soja,,,13.0,0.53,1.46,,16000000.0,,16000000.0,16000000.0,,,,,
Afghanistan,2,Huile de Sésame,,,1.0,0.05,0.13,,1000000.0,,,1000000.0,,1000000.0,,,
Afghanistan,2,Huile de Tournesol,,,18.0,0.75,2.06,,23000000.0,,22000000.0,23000000.0,,1000000.0,,,
